op_name,mean,std,min,max
preproc_imread,5.7936906814575195,5.7936906814575195,2.998828887939453,9.999513626098633
preproc_resize,1.6873359680175781,1.6873359680175781,0.0,11.72184944152832
preproc_cvtColor,0.0,0.0,0.0,0.0
preproc_to_tensor,0.6238937377929688,0.6238937377929688,0.0,1.6243457794189453
0_cpu_conv_0,2.538180351257324,2.538180351257324,1.0020732879638672,5.447149276733398
0_cpu_batch_norm_0,0.6531000137329102,0.6531000137329102,0.0,1.0237693786621094
0_cpu_leaky_0,3.629899024963379,3.629899024963379,2.9761791229248047,4.218816757202148
1_cpu_maxpool_1,5.575108528137207,5.575108528137207,4.010915756225586,7.129907608032227
2_cpu_conv_2,2.2971630096435547,2.2971630096435547,1.0013580322265625,4.001617431640625
2_cpu_batch_norm_2,0.3498554229736328,0.3498554229736328,0.0,1.4908313751220703
2_cpu_leaky_2,1.5750408172607422,1.5750408172607422,0.9965896606445312,2.1355152130126953
3_cpu_maxpool_3,2.951526641845703,2.951526641845703,1.9979476928710938,3.997325897216797
4_cpu_conv_4,2.1919727325439453,2.1919727325439453,1.0004043579101562,3.000497817993164
4_cpu_batch_norm_4,0.29985904693603516,0.29985904693603516,0.0,1.0006427764892578
4_cpu_leaky_4,1.0360479354858398,1.0360479354858398,0.0,2.129077911376953
5_cpu_maxpool_5,1.5187978744506836,1.5187978744506836,0.9989738464355469,2.020597457885742
6_cpu_conv_6,2.212977409362793,2.212977409362793,1.0001659393310547,4.00090217590332
6_cpu_batch_norm_6,0.0,0.0,0.0,0.0
6_cpu_leaky_6,0.5544185638427734,0.5544185638427734,0.0,1.1823177337646484
7_cpu_maxpool_7,0.9877204895019531,0.9877204895019531,0.5004405975341797,1.6124248504638672
8_cpu_conv_8,1.9956350326538086,1.9956350326538086,1.2967586517333984,2.998828887939453
8_cpu_batch_norm_8,0.10006427764892578,0.10006427764892578,0.0,1.0006427764892578
8_cpu_leaky_8,0.30972957611083984,0.30972957611083984,0.0,1.087188720703125
9_cpu_maxpool_9,0.6145954132080078,0.6145954132080078,0.0,1.6524791717529297
10_cpu_conv_10,2.346014976501465,2.346014976501465,1.0099411010742188,4.072666168212891
10_cpu_batch_norm_10,0.10008811950683594,0.10008811950683594,0.0,1.0008811950683594
10_cpu_leaky_10,0.09987354278564453,0.09987354278564453,0.0,0.9987354278564453
11_cpu__debug_padding_11,0.1497507095336914,0.1497507095336914,0.0,0.9975433349609375
11_cpu_maxpool_11,0.9001731872558594,0.9001731872558594,0.0,1.004934310913086
12_cpu_conv_12,8.457660675048828,8.457660675048828,4.999399185180664,11.159181594848633
12_cpu_batch_norm_12,0.150299072265625,0.150299072265625,0.0,1.0025501251220703
12_cpu_leaky_12,0.32303333282470703,0.32303333282470703,0.0,1.230478286743164
13_cpu_conv_13,0.7689952850341797,0.7689952850341797,0.0,2.0008087158203125
13_cpu_batch_norm_13,0.18334388732910156,0.18334388732910156,0.0,0.9992122650146484
13_cpu_leaky_13,0.3000974655151367,0.3000974655151367,0.0,1.0006427764892578
14_cpu_conv_14,2.1665096282958984,2.1665096282958984,1.0001659393310547,3.0138492584228516
14_cpu_batch_norm_14,0.10979175567626953,0.10979175567626953,0.0,1.0001659393310547
14_cpu_leaky_14,0.049948692321777344,0.049948692321777344,0.0,0.49948692321777344
15_cpu_conv_15,0.6012439727783203,0.6012439727783203,0.0,1.012563705444336
16_cpu_yolo,0.41310787200927734,0.41310787200927734,0.0,1.1210441589355469
17_cpu_route,0.0,0.0,0.0,0.0
18_cpu_conv_18,0.514984130859375,0.514984130859375,0.0,1.146078109741211
18_cpu_batch_norm_18,0.15015602111816406,0.15015602111816406,0.0,0.9996891021728516
18_cpu_leaky_18,0.050067901611328125,0.050067901611328125,0.0,0.5006790161132812
19_cpu_upsample_19,0.19981861114501953,0.19981861114501953,0.0,0.9999275207519531
20_cpu_route,0.0,0.0,0.0,0.0
21_cpu_conv_21,5.382132530212402,5.382132530212402,3.000497817993164,6.654024124145508
21_cpu_batch_norm_21,0.0499725341796875,0.0499725341796875,0.0,0.499725341796875
21_cpu_leaky_21,0.11029243469238281,0.11029243469238281,0.0,1.1029243469238281
22_cpu_conv_22,0.9668827056884766,0.9668827056884766,0.49757957458496094,1.6570091247558594
23_cpu_yolo,0.947117805480957,0.947117805480957,0.0,1.4522075653076172
nms,0.830531120300293,0.830531120300293,0.0,1.2927055358886719
rescale_boxes,0.09989738464355469,0.09989738464355469,0.0,0.9989738464355469
postproc_draw_boxes,0.0,0.0,0.0,0.0
